14:06:45 [vbs]> Inicio (Compra/Venta: V | Session: 722237944 | PDF: LHTM_5251101_01_08.11.16_EUR_002901100.pdf)
14:06:45 [vbs]> Fin (Compra/Venta: V | Session: 722237944 | PDF: LHTM_5251101_01_08.11.16_EUR_002901100.pdf)
14:24:09 [vbs]> Inicio (Compra/Venta: V | Session: 722237944 | PDF: LHC0_5250701_00_26.10.16_EUR_001205000.pdf)
14:24:09 [vbs]> Fin (Compra/Venta: V | Session: 722237944 | PDF: LHC0_5250701_00_26.10.16_EUR_001205000.pdf)
14:26:25 [vbs]> Inicio (Compra/Venta: V | Session: 722237944 | PDF: LHTM_5251101_01_08.11.16_EUR_002901100.pdf)
14:26:25 [vbs]> Fin (Compra/Venta: V | Session: 722237944 | PDF: LHTM_5251101_01_08.11.16_EUR_002901100.pdf)
14:37:19 [vbs]> Inicio (Compra/Venta: V | Session: 722237944 | PDF: LHT0_5250901_00_03.11.16_EUR_002900700.pdf)
14:37:19 [vbs]> Fin (Compra/Venta: V | Session: 722237944 | PDF: LHT0_5250901_00_03.11.16_EUR_002900700.pdf)
14:41:22 [vbs]> Inicio (Compra/Venta: V | Session: 722237944 | PDF: LHT0_5250901_00_03.11.16_EUR_002900700.pdf)
14:41:24 [vbs]> Fin (Compra/Venta: V | Session: 722237944 | PDF: LHT0_5250901_00_03.11.16_EUR_002900700.pdf)
14:42:28 [vbs]> Inicio (Compra/Venta: O | Session: 722237944 | PDF: LHOF_1610001_01_02.11.16_EUR_002904600.pdf)
14:42:29 [vbs]> Fin (Compra/Venta: O | Session: 722237944 | PDF: LHOF_1610001_01_02.11.16_EUR_002904600.pdf)
14:42:59 [vbs]> Inicio (Compra/Venta: C | Session: 722237944 | PDF: LHMP_0049187_02_29.11.16_EUR_001010200.pdf)
14:43:00 [vbs]> Fin (Compra/Venta: C | Session: 722237944 | PDF: LHMP_0049187_02_29.11.16_EUR_001010200.pdf)
15:05:36 [vbs]> Inicio (Compra/Venta: C | Session: 722237944 | PDF: LHT0_0049190_00_05.12.16_EUR_001034700.pdf)
15:05:38 [vbs]> Fin (Compra/Venta: C | Session: 722237944 | PDF: LHT0_0049190_00_05.12.16_EUR_001034700.pdf)
15:05:39 [vbs]> Inicio (Compra/Venta: C | Session: 722237944 | PDF: LHT0_0049191_00_05.12.16_EUR_001034700.pdf)
15:05:40 [vbs]> Fin (Compra/Venta: C | Session: 722237944 | PDF: LHT0_0049191_00_05.12.16_EUR_001034700.pdf)
15:19:31 [vbs]> Inicio (Compra/Venta: V | Session: 722237944 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
15:19:32 [vbs]> Fin (Compra/Venta: V | Session: 722237944 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
15:19:34 [vbs]> Inicio (Compra/Venta: V | Session: 722237944 | PDF: LHT0_5251202_00_05.12.16_EUR_001109100.pdf)
15:19:34 [vbs]> Fin (Compra/Venta: V | Session: 722237944 | PDF: LHT0_5251202_00_05.12.16_EUR_001109100.pdf)
