10:34:02 [vbs]> Inicio <CONTRATO> (Compra/Venta/Oferta: V | Session: 539514526 | PDF: LHT0 5251401 00 21.02.17 EUR_001115000.pdf | PriceType: 1)
10:34:04 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 539514526 | PDF: LHT0 5251401 00 21.02.17 EUR_001115000.pdf | PriceType: 1)
10:50:28 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 539514559 | PDF: LHT0 5251501 00 21.02.17 EUR_001115000.pdf | PriceType: 2)
10:50:30 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 539514559 | PDF: LHT0 5251501 00 21.02.17 EUR_001115000.pdf | PriceType: 2)
10:55:25 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 539514573 | PDF: LHC0 5251601 00 21.02.17 EUR_001115000.pdf | PriceType: 2)
10:55:27 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 539514573 | PDF: LHC0 5251601 00 21.02.17 EUR_001115000.pdf | PriceType: 2)
11:26:06 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 539514573 | PDF: LHT0 5251701 00 21.02.17 EUR_001115000.pdf | PriceType: 2)
11:26:08 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 539514573 | PDF: LHT0 5251701 00 21.02.17 EUR_001115000.pdf | PriceType: 2)
11:26:08 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 539514573 | PDF: LHT0 5251702 00 21.02.17 EUR_001115000.pdf | PriceType: 2)
11:26:09 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 539514573 | PDF: LHT0 5251702 00 21.02.17 EUR_001115000.pdf | PriceType: 2)
15:14:26 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 575477402 | PDF: LHT0 5251801 00 21.02.17 EUR 001115000.pdf | PriceType: 2)
15:14:28 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 575477402 | PDF: LHT0 5251801 00 21.02.17 EUR 001115000.pdf | PriceType: 2)
