10:56:27 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 1063868198 | PDF: LHT0 7232601 00 26.05.17 USD 002923000.pdf | PriceType: 2)
10:56:28 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 1063868198 | PDF: LHT0 7232601 00 26.05.17 USD 002923000.pdf | PriceType: 2)
11:31:34 [vbs]> Inicio <CONTRATO> (Compra/Venta/Oferta: C | Session: test | PDF: LHT0 0049190 00 05.12.16 EUR 001034700.pdf | PriceType: 1)
11:31:36 [vbs]> Fin (Compra/Venta/Oferta: C | Session: test | PDF: LHT0 0049190 00 05.12.16 EUR 001034700.pdf | PriceType: 1)
14:00:49 [vbs]> Inicio <CONTRATO> (Compra/Venta/Oferta: C | Session: test | PDF: LHT0 0049190 00 05.12.16 EUR 001034700.pdf | PriceType: 1)
14:00:51 [vbs]> Fin (Compra/Venta/Oferta: C | Session: test | PDF: LHT0 0049190 00 05.12.16 EUR 001034700.pdf | PriceType: 1)
14:05:05 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 12858580 | PDF: LHT0 7232601 00 26.05.17 USD 002923000.pdf | PriceType: 2)
14:05:06 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 12858580 | PDF: LHT0 7232601 00 26.05.17 USD 002923000.pdf | PriceType: 2)
14:16:55 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 14938554 | PDF: LHT0 7232701 00 26.05.17 USD 002923000.pdf | PriceType: 2)
14:17:29 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 14938554 | PDF: LHT0 7232701 00 26.05.17 USD 002923000.pdf | PriceType: 2)
14:23:00 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: C | Session: 14938554 | PDF: LHT0 0049193 00 26.05.17 EUR 001034700.pdf | PriceType: 2)
14:23:01 [vbs]> Fin (Compra/Venta/Oferta: C | Session: 14938554 | PDF: LHT0 0049193 00 26.05.17 EUR 001034700.pdf | PriceType: 2)
14:24:35 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: O | Session: 14938554 | PDF: LHOF 1704001 00 26.05.17 EUR 004934000.pdf | PriceType: 2)
14:24:35 [vbs]> Fin (Compra/Venta/Oferta: O | Session: 14938554 | PDF: LHOF 1704001 00 26.05.17 EUR 004934000.pdf | PriceType: 2)
14:36:40 [vbs]> Inicio <CONTRATO - Price-to-be-fixed> (Compra/Venta/Oferta: V | Session: 14938554 | PDF: LHT0 7232801 00 26.05.17 USD 002923000.pdf | PriceType: 2)
14:36:41 [vbs]> Fin (Compra/Venta/Oferta: V | Session: 14938554 | PDF: LHT0 7232801 00 26.05.17 USD 002923000.pdf | PriceType: 2)
